Datum,Gewinner,Verlierer
2024-03-25,Was helfen mir tausend Dukaten@Liederbock,Gesegn dich Laub@Zupfgeigenhansel
2024-03-25,Tau vor Tag@Liederbock,Staubiger Straßen weißes Band@Liederbock
2024-03-25,Steigt so ein kleiner Troll@Liederbock,Steuermann hoo!@Liederbock
2024-03-26,The Wellerman@unbekannt,Das Trinken@unbekannt
2024-03-26,Es klappert der Huf am Stege@Sankt Georg,Das Kalbfell klingt@Sankt Georg
2024-03-27,Abends treten Elche@Liederbock,Trumradibum@Liederbock
2024-03-27,Slaat up de Trommele@Liederbock,Kameraden wann seh'n wir uns wieder@Liederbock
2024-03-27,So troll'n wir uns@Liederbock,Stille Tage@Liederbock
2024-03-28,Sturm bricht los@Liederbock,Straßen auf und Straßen ab@Liederbock
2024-03-28,Summt der Regen@Liederbock,Tanzen die Dohlen@Liederbock
2024-03-28,Tsu mir is gekumen a kusine@Liederbock,Tsching Tsching bum bum@Liederbock
2024-03-29,Und als wir dann am Abend@Liederbock,Und als begann der dritte Krieg@Liederbock
2024-03-29,Und am Abend ziehen Gaukler@Liederbock,Und wir kauern wieder um die heiße Glut@Liederbock
2024-03-29,viel schnee liegt auf den straßen@Liederbock,Uns jungen Mannen@Liederbock
2024-03-29,Viva la feria@Liederbock,Von der Festung dröhnt@Liederbock
2024-03-30,"Wanderer, lobe den Herren@Liederbock",Von Sonn' und Kessel schwarzgebrannt@Liederbock
2024-03-31,Weile an dieser Quelle@Liederbock,Es wollt' ein Mägdlein früh aufstehn@Liederbock
2024-03-31,Zu Straßburg auf der Schanz@Liederbock,Roter Wein im Becher@Liederbock
2024-03-31,Nun greift in die Saiten@Liederbock,"Nordwärts, nordwärts@Liederbock"
2024-04-01,"Nun lustig, lustig@Liederbock",Oh Bootsmann@Liederbock
2024-04-01,Oh Fischer auf den Wogen@Liederbock,Oh König von Preußen@Liederbock
2024-04-01,Ringsum blühen Birn- und Apfelbäume@Liederbock,Roter Mond@Liederbock
2024-04-01,Near to Banbridge town@Liederbock,"Scharlatane, eins will ich euch sagen@Liederbock"
2024-04-01,Schilf bleicht die langen welkenden Haare@Liederbock,Schlies Aug' und Ohr@Liederbock
2024-04-01,Schon wird uns oft ums Herz zu eng@Liederbock,Sie saßen oft am Märchensee@Liederbock
2024-04-02,Was bin ich nur so jäh erwacht@Liederbock,Warum zögerst du noch@Liederbock
2024-04-02,Was gehn euch meine Lumpen an@Liederbock,Welle wogte@Liederbock
2024-04-02,"Nehmt Abschied, Brüder@Liederbock","Michel, warum weinest du@Liederbock"
2024-04-04,Das Leben ist ein Würfelspiel@Bulibu,"Trum, trum, terum, tum, tum@Sankt Georg"
2024-04-04,Görg von Frundsberg führt uns an@Sankt Georg,Und wenn wir marschieren@unbekannt
2024-04-05,Die Trommel schlägt und schmettert@hell klingen unsere Lieder (BW),Es schlägt ein fremder Fink@Der Turm A
2024-04-05,Weit lasst die Fahnen wehen@Sankt Georg,Es schlägt ein fremder Fink@Sankt Georg
2024-04-05,Das Leben ist ein Würfelspiel@Die Fanfare,Über die Heide wehen die Fahnen@Der Turm A
2024-04-05,Wo's nur Felsen gibt@Liederbock,Wollt ihr hören nun mein Lied@Liederbock
2024-04-06,"In die Sonne, die Ferne hinaus@Liederbock",Gute Nacht Kameraden@Liederbock
2024-04-06,In Dublins fair city@Liederbock,Kein schöner Land@Liederbock
2024-04-06,In Junkers Kneipe@Liederbock,Jeden Abend träumt Jerschenkow@Liederbock
2024-04-06,Jenseits des Tales@Liederbock,Ich fahr dahin@Zupfgeigenhansel
2024-04-07,Kommt Freunde in die Runde@Liederbock,Das Trinken@unbekannt
2024-04-07,Frühling dringt in den Norden@Liederbock,Lang war die Reise@Liederbock
2024-04-07,"Mädchen, Männer, Meister@Liederbock",Leise weht der Wind@Liederbock
2024-04-07,The Wellerman@unbekannt,Mich brennt's in meinen Reiseschuhn@Liederbock
2024-04-07,Nach Süden nun sich lenken die Vögelein@Liederbock,Nachts auf dem Dorfplatz@Liederbock
2024-04-07,Unser liebe Fraue@Die Fanfare,Owe@Liederbock
2024-04-07,Wir ziehen über die Straße@Sankt Georg,"Wer war es, der den Lorbeer brach@Jurtenburg"
2024-04-07,Wo soll ich mich hinwenden@Liederbock,Die Glocken stürmten vom Bernwardsturm@Sankt Georg
2024-04-07,Ich komme schon durch manche Land@Liederbock,Und wenn wir marschieren@Jurtenburg
2024-04-08,Es steht ein Lind in jenem Tal@Zupfgeigenhansel,"Gut Gsell, und du musst wandern@Zupfgeigenhansel"
2024-04-08,An den Flammen zusammengerückt@Liederbock,"Innsbruck, ich muss dich lassen@Zupfgeigenhansel"
2024-04-08,Im düstern Auge keine Träne@Liederbock,Das Leben ist ein Würfelspiel@Bulibu
2024-04-08,Holt mir Wein@Liederbock,Hohe Tannen@Liederbock
2024-04-09,Über die Heide wehen die Fahnen@Der Turm A,Wo soll ich mich hinkehren@Liederbock
2024-04-09,"Gehe nicht, oh Gregor@Liederbock",Ihr hübschen jungen Reiter@Liederbock
2024-04-09,"Gestern, Brüder, könnt ihr's glauben@Liederbock",Gospodar@Liederbock
2024-04-09,Ich kenne Europas Zonen@Liederbock,Horridoh@Liederbock
2024-04-09,Im Kreis ihrer Enkel die alte Frau@Liederbock,"Wer bekümmert sich drum, wenn ich wand're@Liederbock"
2024-04-09,In days gone by@Liederbock,In das Dorf auf bunten Wagen@Liederbock
2024-04-09,Es ritten drei Reiter zum Tore hinaus@Zupfgeigenhansel,Da droben auf jenem Berge@Zupfgeigenhansel
